Name,Review Text,Date Posted
guest,sangat bagus  ,28 Des 2023
********926,"model sama tapi bhan.y ko beda.
ini kaya kolor bhan.y. ",2 minggu lalu
N***i,"jumbo,,mksihh,, ",3 minggu lalu
Anis I.,"Bahan yang tahan lama untuk penggunaan jangka panjang., Celana kargo yang stylish dan modis.,  ",1 hari lalu
Sonia,"keren celana nya.
sesuai gmbar.
saku ny ad 5. 
sesuai yg diinginkan.
mksh seller.🤗 ",25 Okt 2023
8***1,bgus. bgwt,06 Nov 2023
Aripin 0.,sesuai dengan pesenan ok bgtt bagus ,28 Nov 2023
0***6,bagus bgt ,08 Jan 2024
Nurhayati,"Mudah dipadukan dengan berbagai outfit., Celana kargo yang stylish dan modis., Mudah dipadukan dengan berbagai outfit., Desain highwaist sedang trendi.,  ",15 Des 2023
Aulia N.,bagussss bgtt sayang yg hitamnya dikirim beda 😭 ,27 Okt 2023
F***i,"Bahan:bagus
 Ukuran:kegedean di badan
 Rancangan:menarik  ",26 Okt 2023
********556,kk celana nya bagus bgt muat di bb aku 85 smoga awet ea celana nya bahan bagus bgt adem di pake lembut poko nya nanti mau order lagi ,04 Des 2023
adeliaputri,"Buagusssss polllll,syukaaaaaa🙏🏻😭 ",06 Des 2023
Eli W.,"Celana kargo yang stylish dan modis., Desain highwaist sedang trendi., Pas sempurna dengan desain high waist.,  ",13 Jan 2024
Dhirfin,bagus celananya nyaman dipake bahan crinckle jatuh ,25 Des 2023
Dhika D.,Rancangan:bagus ,1 minggu lalu
bunda J.,"celana ga sesuai gambar,ga jls kecil bgt",22 Nov 2023
8***0,"paket udah datang barangnya bagus dan jatoh lagi
pokonya sip ",1 minggu lalu
Rupiyanti,"Mudah dipadukan dengan berbagai outfit.,  ",1 hari lalu
0***1,"Mudah dipadukan dengan berbagai outfit., Pas sempurna dengan desain high waist., Desain highwaist sedang trendi.,  ",3 hari lalu
*********207,"Kain nyaman dan bernapas.,  ",01 Jan 2024
*********465,ok  dengan harga segitu ,21 Des 2023
Dhika D.,Rancangan:bagus ,1 minggu lalu
8***8,"Pas sempurna dengan desain high waist.,  ",30 Nov 2023
Lina,Bahan:  good  ,30 Des 2023
NISA S.,"Bagus untuk aktivitas di luar ruangan.,  ",2 minggu lalu
N***i,"ukuran jumbo,,,sesuai mksih,, ",3 minggu lalu
AHMAD Z.,Alhamdulillah...nyampek juga bhnnya crinkle tpi lumayan bagus ,11 Jan 2024
*********649,baguss barang sesuai respons penjual cepatt dan barangnya orii juga terimakasih 🌷🌷 ,21 Des 2023
0***1,Bagus bngt ,28 Des 2023
Adah E.,UK standar masih longgar di aku yang BB nya 60 ,2 minggu lalu
Third-Party-User,keren clanay bgus amah walaupun hitamy bukan hitam pekat TPI sya ska ,15 Des 2023
niaaaa,terlalu cintahh dengan ini produkk🥰 ,10 Nov 2023
Siti M.,celana ny kegedean tapi gapapa bagus banget celananya aku suka😻 ,08 Des 2023
Th A.,clna nya kecil ,21 Des 2023
Eceu N.,"pket ny udah sampai,celana ny bagus dengan harga segitu,mksh lazada,mksh buat kurir ny ",13 Jan 2024
Siti A.,"Desain highwaist sedang trendi., Celana kargo yang stylish dan modis.,  ",1 minggu lalu
guest,celananya bagus panjangx sesuai dan kain tebal clanax agak gombrang d aku tapi suka cantik sekali next order lagi ,19 Des 2023
8***9,"Celana kargo serbaguna untuk berbagai acara.,  ",3 minggu lalu
*********332,bagus banget gak nyesel belanja di tokoh ini Nex order lagi,11 Des 2023
Ryan K.,"Bahan:ADEM BAGUS
 Ukuran:PAS BGET
 Rancangan:
BAGUS BANGET DEH POKOKNYA.. MAAF YAH GAK SEMPAT FOTO ",30 Des 2023
Mamahdzakirah,Alhamdulillah paket udh mendarat tp kegedean tp anak saya suka trimakasih lazadah ,29 Des 2023
8***9,"Bagus untuk aktivitas di luar ruangan.,  ",3 minggu lalu
s***.,"BAGUSSSS BANGETTTT
 Bahan:  lembut ",17 Des 2023
siti S.,clna bagus tpi buat BB 60 kekecilan  ,16 Des 2023
Dedeh W.,"Celana kargo yang stylish dan modis., Pas sempurna dengan desain high waist., Kain nyaman dan bernapas., Celana kargo serbaguna untuk berbagai acara., ",26 Des 2023
sitinuryeni,bgus poll... ,07 Des 2023
0***2,"buaguseeee polll mantappp,mau beli lagih semoga ga naik harganyaaa🥲 ",20 Des 2023
Sinta B.,"Celana kargo yang trendi dan fungsional.,  ",6 hari lalu
*********969,"Celana kargo yang trendi dan fungsional., Bagus untuk aktivitas di luar ruangan.,  ",11 Des 2023
Azmys,aku suka bget.kainnya lembut warnanya cantik2. ,30 Des 2023
Ibu E.,"sesuai gambar 
tpi lum dicoba muat apa ga
mksih 

kurir baru ",25 Okt 2023
0***1,bahan oke lembut pas anak saya ,26 Des 2023
8***7,"Pas sempurna dengan desain high waist., Celana kargo yang trendi dan fungsional.,  ",4 minggu lalu
Denaya F.,celananya bagus meskipun kegedean  ,23 Nov 2023
*********649,baguss barang sesuai respons penjual cepatt dan barangnya orii juga terimakasih 🌷🌷 ,21 Des 2023
*********649,baguss barang sesuai respons penjual cepatt dan barangnya orii juga terimakasih 🌷🌷 ,21 Des 2023
Suha S.,sesuai pesanan bagusss  ,28 Des 2023
ASEP S.,"realpic cuman kegedean Bagus untuk aktivitas di luar ruangan.,  ",15 Des 2023
Siti N.,"Celana kargo yang stylish dan modis., Beragam pilihan warna yang dapat dipilih., Mudah dipadukan dengan berbagai outfit.,  ",3 hari lalu
0***0,bgus celana sya suka,2 minggu lalu
Third-Party-User,"celanay bagus banget sesuai bahan lembut amah tokohy lancar trus langganan kta
 ",15 Des 2023
8***0,baguss bhn adem ,06 Des 2023
ina P.,barang ok ....semoga awet👍 ,2 minggu lalu
Roswitha Y.,"Bahan:mntap karet
 Ukuran:pas
 Rancangan:pas ok ",3 hari lalu
Warno 0.,klo yg army pas ukuran mau pun desain.y mksih ,08 Jan 2024
SANTIAH D.,pas ok thank  ,1 hari lalu
8***0,"Rancangan:tipis
 Ukuran:gede bngt
 Bahan:tipis
bagus tapi tipis kegedean jga busettt ",01 Jan 2024
Tiara P.,bahan nya halus dingin sedikit kekecilan buat aku padahal bb 55 tpi kekecilan tpi baguss ,25 Des 2023
Neng R.,bagus bngt yebellll ,20 Des 2023
anita P.,bagus sesuai pesanan  ,21 Okt 2023
*********223,bagus banget suka dehh jdi langganan disini pokok nya the best ,18 Des 2023
anita P.,Bagus sesuai pesanan  ,21 Okt 2023
Saya N.,celananya bagus pelangganku suka🥰 ,24 Okt 2023
Mamah N.,"Celana kargo serbaguna untuk berbagai acara., Mudah dipadukan dengan berbagai outfit.,  ",21 Des 2023
c***.,"bagus banget celanaya
 Bahan:nya lembut
 Ukuran:pas
 Rancangan:nenx bakalan order warna lain👍👍 ",25 Okt 2023
Siti R.,"Beragam pilihan warna yang dapat dipilih., Mudah dipadukan dengan berbagai outfit., Celana kargo yang stylish dan modis., Celana kargo yang trendi dan fungsional., Celana kargo serbaguna untuk berbagai acara.,  ",2 minggu lalu
Sandy A.,"Bagus untuk aktivitas di luar ruangan., Kain nyaman dan bernapas.,  ",2 hari lalu
Cut N.,sumpah bagus banget ,2 minggu lalu
desi,"calana cargo nya sangat bangua
 Bahan:lenbut enak di pakei 
 Ukuran:jumbo  
  cocok banget ",2 minggu lalu
meisarisuherlan,"Bahan:lembut
 Ukuran:standar
 ",13 Jan 2024
Ochi,"sipp ,,cuman kebesara di aku ,, oerder lagi ahh ",09 Jan 2024
Lia S.,"Celana kargo yang trendi dan fungsional., Mudah dipadukan dengan berbagai outfit., Beragam pilihan warna yang dapat dipilih., Celana kargo yang stylish dan modis.,  ",08 Des 2023
Warno 0.,bagus bngt ,13 Jan 2024
cndyfnksri,realpictttt ,25 Des 2023
Azmys,bgus bget. ,30 Des 2023
Ila P.,TIDAK sesuai ,14 Des 2023
Dedeh W.,"Celana kargo yang trendi dan fungsional., Celana kargo yang stylish dan modis., Kain nyaman dan bernapas., Celana kargo serbaguna untuk berbagai acara.,  ",25 Des 2023
0***1,"Bagus untuk aktivitas di luar ruangan., Desain highwaist sedang trendi.,  ",3 hari lalu
Rayen A.,lumayan lah ,01 Des 2023
*********824,"Kain nyaman dan bernapas.,  ",11 Jan 2024
Zia S.,"baguss tpi sayang ga tercantum ukurannya jdi kegedean and ga kepake syg bngtt, kalo dibilang agak kecewa sih tpi gpp bagus bingit ko clana nya  ",1 minggu lalu
Lista F.,lmyan bagus sesuai dngn harga anak aq suka.. mau di pake buat jln² ,28 Des 2023
anita P.,"Bahan yang tahan lama untuk penggunaan jangka panjang., Beragam pilihan warna yang dapat dipilih., Desain highwaist sedang trendi., Kain nyaman dan bernapas.,  ",09 Des 2023
8***0,"Bagus, bahanya juga adem banget nyaman di pakai. ukurannya pas  ",23 Des 2023
Erna R.,makasih y kk,09 Nov 2023
Nurr,Bahan:bagusss ,2 minggu lalu
Risma P.,"Desain highwaist sedang trendi., Mudah dipadukan dengan berbagai outfit., Celana kargo yang stylish dan modis.,  ",30 Des 2023
Armi A.,"bagus dan sesuai dengan foto
 Bahan:bagus
 Ukuran:sesuai badan kita
 ",30 Okt 2023
desi,"celana cargo nya sangat bangus 
 Bahan:lembut banget 
 Ukuran:jumbo 
           sayah sangat suka  ",2 minggu lalu
8***9,"celananya pas,saya syuka sekali,cuma pengirimannya lama.. ",01 Jan 2024
Y***.,"baguus,bagan lembut,tidak terlalu tebal, tidak terawang, kualitas baik, dan untuk aku bb 58 tinggi 163, ada karet nya juga jadi nyaman ",18 Des 2023
Cecep S.,"Bahan:lembut
 Ukuran:trlalu ngetat di badan aku😅
 ",24 Nov 2023
K***m,Alhamdulillah dgn harga segitu bagus bangt mnurt aku real pick pokonya ttp jga ke amanahannya...makasih semuanya ,20 Des 2023
Afyulida R.,"Celana kargo serbaguna untuk berbagai acara., Bagus untuk aktivitas di luar ruangan.,  ",02 Des 2023
Ami L.,kekecilan  ,21 Okt 2023
8***0,"Bahan:bagus bangat aku suka
 Ukuran:pas di badan aku pokoknya bagus
 ",04 Des 2023
A***.,bagus bgt cmn ukuran XL kebesaran di perut aku yg kecil 😂 ,2 minggu lalu
*********172,aku suka bngat sama celananya......bahannya lmbut dan nyam digunakan🙏 ,08 Nov 2023
Third-Party-User,tdk sesui sngt buruk ,30 Nov 2023
M A.,"gak sesuai celananya
 ",04 Des 2023
0***1,"Bagus untuk aktivitas di luar ruangan.,  ",14 Des 2023
Irna T.,sesuai semoga cocok😍☺ ,11 Des 2023
*********601,"alhamdulilah bagus banget, Bahn adem, enk dipake, mksih semuanya, 🥰🥰 ",21 Des 2023
Santi,"Bagus untuk aktivitas di luar ruangan., sesuai bngtt celana nya,makasihhh☺️ ",08 Jan 2024
R***.,bagus banget kainnya melar ,16 Jan 2024
Mira R.,"Bagus, lembuuut, harga muraaaah kualitas baguuuuuuuus👍🏻👍🏻👍🏻👍🏻👍🏻 ",06 Jan 2024
Ani M.,Alhamdulillah bagus dan gk mengecewakan semoga tokoh ini selalu amanah aaamiiiin ,01 Jan 2024
Al-habsyi,bagus sekali sesuai dengan harga. bahan sesuai dengan harga  ,18 Des 2023
Fitri S.,baguss tapi sayang nya kepanjangan di saya😓😓 ,27 Des 2023
*********654,bagus celananya cuma dipaha aga kekecilan dikit apa paha aku yg terlalu gemoy😁 ,28 Nov 2023
*********649,baguss barang sesuai respons penjual cepatt dan barangnya orii juga terimakasih 🌷🌷 ,21 Des 2023
8***9,"Kain nyaman dan bernapas., Mudah dipadukan dengan berbagai outfit., Celana kargo yang trendi dan fungsional., Desain highwaist sedang trendi.,  ",04 Des 2023
8***5,"Kain nyaman dan bernapas.,  ",3 hari lalu
r***.,"yg satu ngga sesuai pesanan 🤭
pesen 2 size yg berbeda tapi pas datang sama aja size-nya 🙃 ",01 Des 2023
Reni,sangat kecewa  bahan gak sesuai trus sobek sobek,23 Des 2023
dewi Z.,"Bahan:bahan tebel dan jatuh
 Ukuran:sesuai 
 Rancangan:lumayan  ",23 Nov 2023
guest,"Alhamdulillah barang Nya sudah sampai,,,,Bagus terimakasih lazada ",02 Des 2023
nunung D.,"Beragam pilihan warna yang dapat dipilih., Mudah dipadukan dengan berbagai outfit.,  ",3 minggu lalu
Sonia,"sesuai gmbar. 
cma yg army GK pke resleting SM kangcing. 
beda SM yg hitam pake resleting.
tpi ttp sesuai gmbar.
kerenlh pokok nya.👍 ",25 Okt 2023
guest,celanax keren pokokx suka dehhh asli bgus kainx nyaman d pke  ,19 Des 2023
*********155,gak sesuai dengan gambar sangat tipis ,12 Jan 2024
Uci,"Celana kargo serbaguna untuk berbagai acara.,  ",04 Jan 2024
Sintia J.,sukak sama celananya anjayyy bagusss bangett kyuttt imut lucu kata aku haha ,15 Des 2023
d***.,baguss rekomen gais ,13 Jan 2024
g***t,"Desain highwaist sedang trendi., Desain highwaist sedang trendi., Celana kargo yang stylish dan modis.,  ",27 Des 2023
0***8,bahannya jatuh bgttttt sukakkkkkkk,08 Des 2023
*********030,makasih lazada celananya bagus g kecewa beli di toko ini toko nya sudah amanah bisa buat langanan ,4 minggu lalu
8***7,"Bahan:bahan nya tipis tapi ngga nerawang karena warna gelap 
 Ukuran:kebesaran banget harus tambah Keret pinggang nya
 Rancangan:bagus  ",27 Des 2023
SITI W.,"Mudah dipadukan dengan berbagai outfit., Bagus untuk aktivitas di luar ruangan.,  ",2 minggu lalu
*********068,"Bahan:lumayan bagus
 Ukuran:sesuai/pas
 Rancangan:bagus ",18 Des 2023
Andra V.,asli longgar banget😁😁😁😁😁 ,1 minggu lalu
Andra V.,bagus banget😀😀😀😀😀😀 ,1 minggu lalu
Nur H.,"Celana kargo yang stylish dan modis., Celana kargo yang stylish dan modis., ",2 minggu lalu
8***.,jahitanya rapih cuman bahannya tipis ,3 minggu lalu
